iter	Passed	Remaining
0	143	143239
1	146	72977
2	149	49703
3	152	37964
4	155	30994
5	159	26356
6	162	22984
7	165	20462
8	169	18623
9	171	17013
10	174	15697
11	177	14583
12	179	13642
13	182	12857
14	185	12175
15	188	11563
16	190	11002
17	192	10516
18	194	10066
19	197	9672
20	201	9375
21	204	9083
22	206	8779
23	209	8503
24	211	8260
25	214	8017
26	216	7789
27	218	7582
28	220	7391
29	223	7232
30	225	7049
31	227	6895
32	230	6760
33	233	6622
34	235	6480
35	236	6345
36	239	6227
37	241	6115
38	243	6010
39	245	5903
40	247	5791
41	249	5689
42	251	5596
43	253	5500
44	254	5411
45	256	5324
46	258	5245
47	260	5170
48	262	5100
49	264	5028
50	266	4962
51	268	4893
52	270	4829
53	272	4767
54	273	4703
55	275	4646
56	277	4591
57	279	4539
58	281	4483
59	283	4436
60	284	4385
61	286	4335
62	288	4286
63	290	4243
64	291	4196
65	293	4155
66	295	4111
67	296	4058
68	298	4021
69	299	3984
70	301	3944
71	302	3905
72	305	3882
73	307	3848
74	309	3820
75	311	3791
76	313	3758
77	315	3727
78	317	3700
79	319	3670
80	321	3641
81	322	3613
82	324	3586
83	326	3556
84	327	3523
85	329	3506
86	331	3475
87	333	3456
88	335	3435
89	337	3413
90	339	3393
91	341	3369
92	343	3347
93	345	3327
94	347	3305
95	348	3284
96	350	3263
97	352	3244
98	354	3223
99	356	3207
100	358	3186
101	358	3160
102	360	3141
103	362	3122
104	364	3107
105	366	3093
106	369	3079
107	371	3065
108	373	3052
109	375	3036
110	376	3017
111	378	3003
112	380	2989
113	382	2975
114	384	2959
115	386	2941
116	387	2927
117	389	2914
118	391	2897
119	393	2884
120	395	2871
121	397	2862
122	398	2844
123	400	2830
124	402	2816
125	404	2807
126	407	2802
127	409	2787
128	411	2775
129	412	2763
130	414	2749
131	416	2737
132	418	2725
133	419	2713
134	421	2701
135	423	2692
136	425	2681
137	427	2668
138	428	2657
139	430	2645
140	432	2636
141	434	2625
142	436	2615
143	438	2604
144	439	2592
145	441	2582
146	443	2571
147	444	2560
148	446	2551
149	448	2542
150	450	2533
151	452	2524
152	454	2514
153	456	2505
154	457	2495
155	459	2486
156	461	2476
157	463	2468
158	465	2460
159	466	2451
160	468	2443
161	470	2434
162	472	2427
163	474	2418
164	476	2409
165	477	2400
166	479	2392
167	481	2383
168	483	2375
169	485	2368
170	487	2361
171	489	2354
172	490	2347
173	492	2338
174	494	2331
175	496	2324
176	498	2318
177	500	2312
178	502	2303
179	504	2296
180	505	2285
181	506	2277
182	508	2270
183	510	2263
184	512	2256
185	514	2250
186	515	2243
187	517	2236
188	519	2230
189	521	2222
190	523	2215
191	524	2208
192	526	2201
193	528	2196
194	530	2190
195	532	2184
196	534	2178
197	536	2171
198	538	2166
199	540	2160
200	542	2154
201	543	2148
202	545	2141
203	547	2135
204	548	2128
205	550	2122
206	552	2116
207	554	2110
208	556	2106
209	558	2101
210	560	2096
211	562	2090
212	564	2085
213	566	2080
214	568	2074
215	569	2067
216	571	2063
217	573	2058
218	575	2052
219	578	2049
220	580	2044
221	582	2039
222	584	2034
223	586	2030
224	587	2024
225	589	2020
226	591	2014
227	593	2010
228	595	2005
229	598	2002
230	600	1997
231	602	1994
232	604	1989
233	606	1985
234	608	1980
235	610	1975
236	612	1970
237	614	1966
238	615	1961
239	617	1956
240	619	1951
241	621	1946
242	623	1942
243	625	1937
244	627	1933
245	628	1927
246	630	1922
247	632	1917
248	634	1912
249	636	1908
250	638	1903
251	639	1899
252	641	1895
253	643	1890
254	645	1885
255	647	1880
256	649	1876
257	650	1872
258	653	1868
259	655	1864
260	657	1860
261	659	1856
262	660	1852
263	662	1848
264	665	1844
265	667	1840
266	668	1836
267	670	1831
268	672	1827
269	674	1822
270	676	1818
271	678	1816
272	680	1811
273	682	1807
274	684	1805
275	686	1800
276	688	1796
277	690	1792
278	691	1787
279	693	1783
280	695	1779
281	697	1774
282	698	1770
283	700	1765
284	702	1761
285	704	1758
286	705	1753
287	707	1748
288	708	1743
289	710	1739
290	712	1734
291	713	1730
292	715	1726
293	717	1721
294	718	1717
295	720	1713
296	722	1709
297	724	1705
298	725	1701
299	727	1696
300	729	1693
301	730	1688
302	732	1684
303	733	1680
304	735	1676
305	736	1671
306	738	1667
307	740	1663
308	741	1658
309	743	1655
310	745	1650
311	746	1646
312	748	1642
313	750	1638
314	751	1634
315	753	1631
316	755	1627
317	757	1623
318	759	1620
319	760	1616
320	762	1613
321	764	1609
322	766	1605
323	767	1601
324	769	1597
325	771	1594
326	773	1591
327	775	1587
328	776	1584
329	778	1580
330	780	1576
331	781	1572
332	783	1569
333	785	1565
334	786	1562
335	788	1558
336	790	1555
337	792	1551
338	793	1548
339	795	1544
340	797	1541
341	799	1537
342	801	1535
343	803	1532
344	805	1528
345	807	1525
346	808	1521
347	810	1518
348	812	1514
349	814	1511
350	815	1508
351	817	1505
352	819	1502
353	821	1498
354	823	1495
355	825	1492
356	826	1489
357	828	1486
358	830	1483
359	832	1480
360	834	1476
361	836	1473
362	837	1470
363	839	1467
364	841	1463
365	843	1460
366	845	1457
367	847	1455
368	849	1452
369	851	1449
370	853	1446
371	855	1443
372	857	1440
373	858	1437
374	861	1436
375	863	1433
376	866	1431
377	868	1428
378	870	1426
379	872	1423
380	874	1420
381	877	1418
382	879	1417
383	881	1414
384	883	1411
385	885	1409
386	887	1406
387	890	1403
388	891	1401
389	893	1398
390	895	1395
391	898	1393
392	900	1390
393	901	1387
394	903	1384
395	905	1381
396	907	1378
397	909	1375
398	911	1372
399	912	1369
400	915	1366
401	917	1364
402	918	1361
403	921	1358
404	923	1356
405	925	1353
406	927	1350
407	928	1347
408	930	1344
409	932	1341
410	934	1339
411	937	1337
412	939	1334
413	941	1332
414	943	1329
415	945	1327
416	947	1324
417	949	1321
418	951	1318
419	953	1316
420	954	1313
421	957	1311
422	958	1307
423	960	1304
424	962	1301
425	964	1299
426	965	1296
427	967	1293
428	969	1290
429	971	1287
430	972	1284
431	974	1281
432	976	1278
433	978	1275
434	980	1273
435	982	1270
436	983	1267
437	985	1264
438	987	1261
439	989	1258
440	990	1256
441	992	1253
442	994	1250
443	996	1247
444	998	1244
445	999	1241
446	1001	1239
447	1003	1236
448	1005	1233
449	1007	1230
450	1008	1228
451	1010	1225
452	1012	1222
453	1014	1220
454	1016	1217
455	1018	1214
456	1019	1211
457	1021	1209
458	1023	1206
459	1025	1203
460	1026	1200
461	1028	1197
462	1030	1195
463	1032	1192
464	1034	1190
465	1036	1187
466	1038	1184
467	1040	1182
468	1041	1179
469	1043	1176
470	1045	1174
471	1047	1171
472	1048	1168
473	1050	1165
474	1052	1163
475	1054	1160
476	1055	1157
477	1057	1155
478	1059	1152
479	1061	1149
480	1062	1146
481	1064	1144
482	1066	1141
483	1068	1139
484	1070	1136
485	1072	1133
486	1073	1131
487	1075	1128
488	1077	1126
489	1079	1123
490	1081	1120
491	1082	1118
492	1084	1115
493	1086	1112
494	1088	1110
495	1090	1107
496	1091	1104
497	1093	1102
498	1095	1099
499	1096	1096
500	1098	1094
501	1100	1091
502	1102	1089
503	1104	1086
504	1105	1084
505	1107	1081
506	1109	1078
507	1111	1076
508	1113	1073
509	1114	1071
510	1116	1068
511	1118	1065
512	1119	1063
513	1121	1060
514	1123	1057
515	1125	1055
516	1127	1053
517	1129	1050
518	1130	1048
519	1132	1045
520	1134	1043
521	1136	1040
522	1137	1037
523	1139	1035
524	1141	1032
525	1142	1029
526	1144	1027
527	1146	1025
528	1148	1022
529	1150	1019
530	1151	1017
531	1153	1014
532	1155	1012
533	1156	1009
534	1159	1007
535	1161	1005
536	1163	1002
537	1164	1000
538	1166	997
539	1168	995
540	1170	992
541	1171	989
542	1173	987
543	1174	984
544	1176	982
545	1177	979
546	1180	977
547	1183	975
548	1186	974
549	1189	973
550	1193	972
551	1197	971
552	1200	970
553	1204	969
554	1207	967
555	1210	966
556	1213	965
557	1216	963
558	1219	962
559	1222	960
560	1226	959
561	1229	957
562	1231	956
563	1234	954
564	1237	953
565	1240	951
566	1243	949
567	1245	947
568	1248	945
569	1250	943
570	1253	941
571	1255	939
572	1258	937
573	1260	935
574	1262	933
575	1265	931
576	1267	929
577	1270	927
578	1272	925
579	1274	923
580	1277	921
581	1279	918
582	1280	916
583	1282	913
584	1284	911
585	1286	908
