iter	Passed	Remaining
0	0	928
1	1	850
2	2	821
3	3	831
4	4	797
5	4	779
6	5	776
7	6	769
8	6	769
9	7	767
10	8	772
11	9	770
12	10	768
13	10	766
14	11	760
15	12	757
16	12	750
17	13	746
18	14	750
19	15	753
20	16	754
21	16	752
22	17	750
23	18	748
24	19	744
25	19	738
26	20	740
27	21	735
28	21	732
29	22	732
30	23	731
31	24	732
32	25	734
33	25	734
34	26	732
35	27	734
36	28	733
37	28	732
38	29	731
39	30	731
40	31	727
41	31	725
42	32	726
43	33	723
44	34	727
45	35	726
46	35	725
47	36	724
48	37	723
49	37	721
50	38	719
51	39	718
52	40	719
53	41	719
54	41	717
55	42	718
56	43	718
57	44	718
58	45	718
59	45	716
60	46	715
61	47	715
62	47	713
63	48	712
64	49	711
65	50	711
66	51	710
67	51	708
68	52	708
69	53	705
70	53	705
71	54	706
72	55	705
73	56	702
74	56	701
75	57	699
76	58	698
77	59	698
78	59	696
79	60	694
80	61	694
81	61	694
82	62	689
83	63	688
84	63	686
85	64	685
86	65	685
87	66	684
88	66	684
89	67	683
90	68	682
91	69	681
92	69	680
93	70	679
94	71	677
95	71	677
96	72	676
97	73	675
98	74	674
99	74	674
100	75	673
101	76	672
102	77	671
103	78	674
104	79	675
105	79	674
106	80	674
107	81	674
108	82	673
109	83	672
110	84	676
111	85	675
112	85	674
113	86	673
114	87	672
115	88	671
116	88	668
117	89	667
118	90	667
119	91	667
120	91	667
121	92	664
122	93	663
123	93	663
124	94	662
125	95	661
126	95	659
127	96	658
128	97	657
129	98	657
130	98	656
131	99	655
132	100	654
133	101	654
134	101	653
135	102	652
136	103	652
137	104	652
138	105	652
139	105	650
140	106	649
141	107	647
142	107	646
143	108	646
144	109	646
145	110	646
146	111	644
147	112	644
148	112	643
149	113	643
150	114	642
151	114	641
152	115	640
153	116	640
154	117	639
155	118	639
156	118	638
157	119	638
158	120	636
159	121	636
160	121	634
161	122	633
162	123	632
163	124	632
164	124	631
165	125	630
166	126	628
167	126	627
168	127	626
169	128	626
170	129	625
171	129	624
172	130	623
173	131	622
174	131	621
175	132	620
176	133	619
177	133	618
178	134	617
179	135	616
180	136	615
181	136	614
182	137	613
183	138	613
184	139	612
185	139	611
186	140	610
187	141	610
188	142	609
189	142	608
190	143	608
191	144	607
192	145	606
193	145	605
194	146	604
195	147	604
196	148	603
197	148	602
198	149	601
199	150	600
200	150	599
201	151	598
202	152	597
203	153	597
204	153	596
205	154	596
